,DATE,SP500
837,2022-01-12,4726.35
838,2022-01-13,4659.03
839,2022-01-14,4662.85
840,2022-01-17,.
841,2022-01-18,4577.11
842,2022-01-19,4532.76
843,2022-01-20,4482.73
844,2022-01-21,4397.94
845,2022-01-24,4410.13
846,2022-01-25,4356.45
847,2022-01-26,4349.93
848,2022-01-27,4326.51
849,2022-01-28,4431.85
850,2022-01-31,4515.55
851,2022-02-01,4546.54
852,2022-02-02,4589.38
853,2022-02-03,4477.44
854,2022-02-04,4500.53
855,2022-02-07,4483.87
856,2022-02-08,4521.54
857,2022-02-09,4587.18
858,2022-02-10,4504.08
859,2022-02-11,4418.64
860,2022-02-14,4401.67
861,2022-02-15,4471.07
862,2022-02-16,4475.01
863,2022-02-17,4380.26
864,2022-02-18,4348.87
865,2022-02-21,.
866,2022-02-22,4304.76
867,2022-02-23,4225.5
868,2022-02-24,4288.7
869,2022-02-25,4384.65
870,2022-02-28,4373.94
871,2022-03-01,4306.26
872,2022-03-02,4386.54
873,2022-03-03,4363.49
874,2022-03-04,4328.87
875,2022-03-07,4201.09
876,2022-03-08,4170.7
877,2022-03-09,4277.88
878,2022-03-10,4259.52
879,2022-03-11,4204.31
880,2022-03-14,4173.11
881,2022-03-15,4262.45
882,2022-03-16,4357.86
883,2022-03-17,4411.67
884,2022-03-18,4463.12
885,2022-03-21,4461.18
886,2022-03-22,4511.61
887,2022-03-23,4456.24
888,2022-03-24,4520.16
889,2022-03-25,4543.06
890,2022-03-28,4575.52
891,2022-03-29,4631.6
892,2022-03-30,4602.45
893,2022-03-31,4530.41
894,2022-04-01,4545.86
895,2022-04-04,4582.64
896,2022-04-05,4525.12
897,2022-04-06,4481.15
898,2022-04-07,4500.21
899,2022-04-08,4488.28
900,2022-04-11,4412.53
901,2022-04-12,4397.45
902,2022-04-13,4446.59
903,2022-04-14,4392.59
904,2022-04-15,.
905,2022-04-18,4391.69
906,2022-04-19,4462.21
907,2022-04-20,4459.45
908,2022-04-21,4393.66
909,2022-04-22,4271.78
910,2022-04-25,4296.12
911,2022-04-26,4175.2
912,2022-04-27,4183.96
913,2022-04-28,4287.5
914,2022-04-29,4131.93
915,2022-05-02,4155.38
916,2022-05-03,4175.48
917,2022-05-04,4300.17
918,2022-05-05,4146.87
919,2022-05-06,4123.34
920,2022-05-09,3991.24
921,2022-05-10,4001.05
922,2022-05-11,3935.18
923,2022-05-12,3930.08
924,2022-05-13,4023.89
925,2022-05-16,4008.01
926,2022-05-17,4088.85
927,2022-05-18,3923.68
928,2022-05-19,3900.79
929,2022-05-20,3901.36
930,2022-05-23,3973.75
931,2022-05-24,3941.48
932,2022-05-25,3978.73
933,2022-05-26,4057.84
934,2022-05-27,4158.24
935,2022-05-30,.
936,2022-05-31,4132.15
937,2022-06-01,4101.23
938,2022-06-02,4176.82
939,2022-06-03,4108.54
940,2022-06-06,4121.43
941,2022-06-07,4160.68
942,2022-06-08,4115.77
943,2022-06-09,4017.82
944,2022-06-10,3900.86
945,2022-06-13,3749.63
946,2022-06-14,3735.48
947,2022-06-15,3789.99
948,2022-06-16,3666.77
949,2022-06-17,3674.84
950,2022-06-20,.
951,2022-06-21,3764.79
952,2022-06-22,3759.89
953,2022-06-23,3795.73
954,2022-06-24,3911.74
955,2022-06-27,3900.11
956,2022-06-28,3821.55
957,2022-06-29,3818.83
958,2022-06-30,3785.38
959,2022-07-01,3825.33
960,2022-07-04,.
961,2022-07-05,3831.39
962,2022-07-06,3845.08
963,2022-07-07,3902.62
964,2022-07-08,3899.38
965,2022-07-11,3854.43
966,2022-07-12,3818.8
967,2022-07-13,3801.78
968,2022-07-14,3790.38
969,2022-07-15,3863.16
970,2022-07-18,3830.85
