,DATE,SP500,month,number
514,10/16/2020,3483.81,2020-10-16,3483.81
515,10/19/2020,3426.92,2020-10-19,3426.92
516,10/20/2020,3443.12,2020-10-20,3443.12
517,10/21/2020,3435.56,2020-10-21,3435.56
518,10/22/2020,3453.49,2020-10-22,3453.49
519,10/23/2020,3465.39,2020-10-23,3465.39
520,10/26/2020,3400.97,2020-10-26,3400.97
521,10/27/2020,3390.68,2020-10-27,3390.68
522,10/28/2020,3271.03,2020-10-28,3271.03
523,10/29/2020,3310.11,2020-10-29,3310.11
524,10/30/2020,3269.96,2020-10-30,3269.96
525,11/2/2020,3310.24,2020-11-02,3310.24
526,11/3/2020,3369.16,2020-11-03,3369.16
527,11/4/2020,3443.44,2020-11-04,3443.44
528,11/5/2020,3510.45,2020-11-05,3510.45
529,11/6/2020,3509.44,2020-11-06,3509.44
530,11/9/2020,3550.5,2020-11-09,3550.5
531,11/10/2020,3545.53,2020-11-10,3545.53
532,11/11/2020,3572.66,2020-11-11,3572.66
533,11/12/2020,3537.01,2020-11-12,3537.01
534,11/13/2020,3585.15,2020-11-13,3585.15
535,11/16/2020,3626.91,2020-11-16,3626.91
536,11/17/2020,3609.53,2020-11-17,3609.53
537,11/18/2020,3567.79,2020-11-18,3567.79
538,11/19/2020,3581.87,2020-11-19,3581.87
539,11/20/2020,3557.54,2020-11-20,3557.54
540,11/23/2020,3577.59,2020-11-23,3577.59
